id,trigger,conditions,script,text,options,notes
uwMarketAddOptionUpgradeU3_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable U3
!UW_UpgradeEnoughCredits U3","SetTooltip uwMarketUpgradeU3 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeU3CostStr credits. Only $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeU3 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketUpgradeU3 $global.uwUpgradeShip $global.uwUpgradeU3CostStr $player.creditsStr
SetEnabled uwMarketUpgradeU3 false",,4:uwMarketUpgradeU3:Install a built-in Hellfire Cannon,
uwMarketOptionUpgradeU3,DialogOptionSelected,$option == uwMarketUpgradeU3,"UW_UpgradeShip U3
AddText ""Installed a built-in Hellfire Cannon into $global.uwUpgradeShip, at the cost of $global.uwUpgradeU3CostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeU3CostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionUpgradeU4_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable U4
UW_UpgradeEnoughCredits U4","SetTooltip uwMarketUpgradeU4 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeU4CostStr credits. $player.creditsStr credits are available. Weapon slot upgrades: one medium slot is increased to large and three small slots are increased to medium.""
SetTooltipHighlightColors uwMarketUpgradeU4 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketUpgradeU4 $global.uwUpgradeShip $global.uwUpgradeU4CostStr $player.creditsStr
UW_AddConfirmation uwMarketUpgradeU4 ""Upgrading modular weapon slots and increasing maximum ordnance points by 25 for $global.uwUpgradeShip requires $global.uwUpgradeU4CostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,5:uwMarketUpgradeU4:Upgrade modular weapon slots (+25 OP),
uwMarketAddOptionUpgradeU4_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable U4
!UW_UpgradeEnoughCredits U4","SetTooltip uwMarketUpgradeU4 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeU4CostStr credits. Only $player.creditsStr credits are available. Weapon slot upgrades: one medium slot is increased to large and three small slots are increased to medium.""
SetTooltipHighlightColors uwMarketUpgradeU4 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketUpgradeU4 $global.uwUpgradeShip $global.uwUpgradeU4CostStr $player.creditsStr
SetEnabled uwMarketUpgradeU4 false",,5:uwMarketUpgradeU4:Upgrade modular weapon slots (+25 OP),
uwMarketOptionUpgradeU4,DialogOptionSelected,$option == uwMarketUpgradeU4,"UW_UpgradeShip U4
AddText ""Upgraded modular weapon slots and increased maximum ordnance points by 25 for $global.uwUpgradeShip, at the cost of $global.uwUpgradeU4CostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeU4CostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
,,,,,,
,,,,,,
uwMarketAddOptionUpgradeF1_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable F1
!UW_UpgradeInstalled F2
UW_UpgradeEnoughCredits F1","SetTooltip uwMarketUpgradeF1 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeF1CostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeF1 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketUpgradeF1 $global.uwUpgradeShip $global.uwUpgradeF1CostStr $player.creditsStr
UW_AddConfirmation uwMarketUpgradeF1 ""Replacing the built-in Borer Drones with a pair of Terminator Drone wings for $global.uwUpgradeShip requires $global.uwUpgradeF1CostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,6:uwMarketUpgradeF1:Replace built-in Borer Drones with Terminator Drones,
uwMarketAddOptionUpgradeF1_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable F1
!UW_UpgradeInstalled F2
!UW_UpgradeEnoughCredits F1","SetTooltip uwMarketUpgradeF1 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeF1CostStr credits. Only $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeF1 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketUpgradeF1 $global.uwUpgradeShip $global.uwUpgradeF1CostStr $player.creditsStr
SetEnabled uwMarketUpgradeF1 false",,6:uwMarketUpgradeF1:Replace built-in Borer Drones with Terminator Drones,
uwMarketOptionUpgradeF1,DialogOptionSelected,"!UW_UpgradeInstalled F2
$option == uwMarketUpgradeF1","UW_UpgradeShip F1
AddText ""Replaced the built-in Borer Drones with a pair of Terminator Drone wings for $global.uwUpgradeShip, at the cost of $global.uwUpgradeF1CostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeF1CostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionSwapF1_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable F1
UW_UpgradeInstalled F2
UW_UpgradeEnoughCredits F1","SetTooltip uwMarketSwapF1 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeF1SwapCostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketSwapF1 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketSwapF1 $global.uwUpgradeShip $global.uwUpgradeF1SwapCostStr $player.creditsStr
UW_AddConfirmation uwMarketSwapF1 ""Replacing the fighter bays with a pair of built-in Terminator Drone wings and decreasing maximum ordnance points by 20 for $global.uwUpgradeShip requires $global.uwUpgradeF1SwapCostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,6:uwMarketSwapF1:Replace fighter bays with a pair of built-in Terminator Drone wings (-20 OP),
uwMarketAddOptionSwapF1_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable F1
UW_UpgradeInstalled F2
!UW_UpgradeEnoughCredits F1","SetTooltip uwMarketSwapF1 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeF1SwapCostStr credits. Only $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketSwapF1 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketSwapF1 $global.uwUpgradeShip $global.uwUpgradeF1SwapCostStr $player.creditsStr
SetEnabled uwMarketSwapF1 false",,6:uwMarketSwapF1:Replace fighter bays with a pair of built-in Terminator Drone wings (-20 OP),
uwMarketOptionSwapF1,DialogOptionSelected,"UW_UpgradeInstalled F2
$option == uwMarketSwapF1","UW_UpgradeShip F1
AddText ""Replaced the fighter bays with a pair of built-in Terminator Drone wings and decreased maximum ordnance points by 20 for $global.uwUpgradeShip, at the cost of $global.uwUpgradeF1SwapCostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeF1SwapCostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionUpgradeF2_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable F2
!UW_UpgradeInstalled F1
UW_UpgradeEnoughCredits F2","SetTooltip uwMarketUpgradeF2 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeF2CostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeF2 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketUpgradeF2 $global.uwUpgradeShip $global.uwUpgradeF2CostStr $player.creditsStr
UW_AddConfirmation uwMarketUpgradeF2 ""Replacing the built-in Borer Drone wings with a pair of fighter bays and increasing maximum ordnance points by 20 for $global.uwUpgradeShip requires $global.uwUpgradeF2CostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,7:uwMarketUpgradeF2:Replace built-in Borer Drone wings with a pair of fighter bays (+20 OP),
uwMarketAddOptionUpgradeF2_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable F2
!UW_UpgradeInstalled F1
!UW_UpgradeEnoughCredits F2","SetTooltip uwMarketUpgradeF2 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeF2CostStr credits. Only $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeF2 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketUpgradeF2 $global.uwUpgradeShip $global.uwUpgradeF2CostStr $player.creditsStr
SetEnabled uwMarketUpgradeF2 false",,7:uwMarketUpgradeF2:Replace built-in Borer Drone wings with a pair of fighter bays (+20 OP),
uwMarketOptionUpgradeF2,DialogOptionSelected,"!UW_UpgradeInstalled F1
$option == uwMarketUpgradeF2","UW_UpgradeShip F2
AddText ""Replaced the built-in Borer Drone wings with a pair of fighter bays and increased maximum ordnance points by 20 for $global.uwUpgradeShip, at the cost of $global.uwUpgradeF2CostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeF2CostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionSwapF2_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable F2
UW_UpgradeInstalled F1
UW_UpgradeEnoughCredits F2","SetTooltip uwMarketSwapF2 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeF2SwapCostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketSwapF2 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketSwapF2 $global.uwUpgradeShip $global.uwUpgradeF2SwapCostStr $player.creditsStr
UW_AddConfirmation uwMarketSwapF2 ""Replacing the built-in Terminator Drone wings with a pair of fighter bays and increasing maximum ordnance points by 20 for $global.uwUpgradeShip requires $global.uwUpgradeF2SwapCostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,7:uwMarketSwapF2:Replace built-in Terminator Drone wings with a pair of fighter bays (+20 OP),
uwMarketAddOptionSwapF2_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable F2
UW_UpgradeInstalled F1
!UW_UpgradeEnoughCredits F2","SetTooltip uwMarketSwapF2 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeF2SwapCostStr credits. Only $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketSwapF2 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketSwapF2 $global.uwUpgradeShip $global.uwUpgradeF2SwapCostStr $player.creditsStr
SetEnabled uwMarketSwapF2 false",,7:uwMarketSwapF2:Replace built-in Terminator Drone wings with a pair of fighter bays (+20 OP),
uwMarketOptionSwapF2,DialogOptionSelected,"UW_UpgradeInstalled F1
$option == uwMarketSwapF2","UW_UpgradeShip F2
AddText ""Replaced the built-in Terminator Drone wings with a pair of fighter bays and increased maximum ordnance points by 20 for $global.uwUpgradeShip, at the cost of $global.uwUpgradeF2SwapCostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeF2SwapCostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionUpgradeS1_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable S1
!UW_UpgradeInstalled S2
UW_UpgradeEnoughCredits S1","SetTooltip uwMarketUpgradeS1 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeS1CostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeS1 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketUpgradeS1 $global.uwUpgradeShip $global.uwUpgradeS1CostStr $player.creditsStr
UW_AddConfirmation uwMarketUpgradeS1 ""Installing a built-in Advanced Targeting Core into $global.uwUpgradeShip requires $global.uwUpgradeS1CostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,8:uwMarketUpgradeS1:Install a built-in Advanced Targeting Core,
uwMarketAddOptionUpgradeS1_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable S1
!UW_UpgradeInstalled S2
!UW_UpgradeEnoughCredits S1","SetTooltip uwMarketUpgradeS1 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeS1CostStr credits. Only $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeS1 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketUpgradeS1 $global.uwUpgradeShip $global.uwUpgradeS1CostStr $player.creditsStr
SetEnabled uwMarketUpgradeS1 false",,8:uwMarketUpgradeS1:Install a built-in Advanced Targeting Core,
uwMarketOptionUpgradeS1,DialogOptionSelected,"!UW_UpgradeInstalled S2
$option == uwMarketUpgradeS1","UW_UpgradeShip S1
AddText ""Installed a built-in Advanced Targeting Core into $global.uwUpgradeShip, at the cost of $global.uwUpgradeS1CostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeS1CostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionSwapS1_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable S1
UW_UpgradeInstalled S2
UW_UpgradeEnoughCredits S1","SetTooltip uwMarketSwapS1 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeS1SwapCostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketSwapS1 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketSwapS1 $global.uwUpgradeShip $global.uwUpgradeS1SwapCostStr $player.creditsStr
UW_AddConfirmation uwMarketSwapS1 ""Replacing the Maneuvering Jets system with Burn Drive and replacing the built-in Auxiliary Thrusters and Unstable Injector with an Advanced Targeting Core for $global.uwUpgradeShip requires $global.uwUpgradeS1SwapCostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,8:uwMarketSwapS1:Replace Maneuvering Jets system with Burn Drive and built-in Aux. Thrusters/U. Injector with Advanced Targeting Core,
uwMarketAddOptionSwapS1_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable S1
UW_UpgradeInstalled S2
!UW_UpgradeEnoughCredits S1","SetTooltip uwMarketSwapS1 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeS1SwapCostStr credits. Only $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketSwapS1 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketSwapS1 $global.uwUpgradeShip $global.uwUpgradeS1SwapCostStr $player.creditsStr
SetEnabled uwMarketSwapS1 false",,8:uwMarketSwapS1:Replace Maneuvering Jets system with Burn Drive and built-in Aux. Thrusters/U. Injector with Advanced Targeting Core,
uwMarketOptionSwapS1,DialogOptionSelected,"UW_UpgradeInstalled S2
$option == uwMarketSwapS1","UW_UpgradeShip S1
AddText ""Replaced the Maneuvering Jets system with Burn Drive and replaced the built-in Auxiliary Thrusters and Unstable Injector with an Advanced Targeting Core for $global.uwUpgradeShip, at the cost of $global.uwUpgradeS1SwapCostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeS1SwapCostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionUpgradeS2_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable S2
!UW_UpgradeInstalled S1
UW_UpgradeEnoughCredits S2","SetTooltip uwMarketUpgradeS2 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeS2CostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeS2 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketUpgradeS2 $global.uwUpgradeShip $global.uwUpgradeS2CostStr $player.creditsStr
UW_AddConfirmation uwMarketUpgradeS2 ""Replacing the Burn Drive system with Maneuvering Jets and installing built-in Auxiliary Thrusters and Unstable Injector into $global.uwUpgradeShip requires $global.uwUpgradeS2CostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,9:uwMarketUpgradeS2:Replace Burn Drive system with Maneuvering Jets and install built-in Aux. Thrusters and U. Injector,
uwMarketAddOptionUpgradeS2_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable S2
!UW_UpgradeInstalled S1
!UW_UpgradeEnoughCredits S2","SetTooltip uwMarketUpgradeS2 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeS2CostStr credits. Only $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketUpgradeS2 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketUpgradeS2 $global.uwUpgradeShip $global.uwUpgradeS2CostStr $player.creditsStr
SetEnabled uwMarketUpgradeS2 false",,9:uwMarketUpgradeS2:Replace Burn Drive system with Maneuvering Jets and install built-in Aux. Thrusters and U. Injector,
uwMarketOptionUpgradeS2,DialogOptionSelected,"!UW_UpgradeInstalled S1
$option == uwMarketUpgradeS2","UW_UpgradeShip S2
AddText ""Replaced the Burn Drive system with Maneuvering Jets and installed built-in Auxiliary Thrusters and Unstable Injector into $global.uwUpgradeShip, at the cost of $global.uwUpgradeS2CostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeS2CostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionSwapS2_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable S2
UW_UpgradeInstalled S1
UW_UpgradeEnoughCredits S2","SetTooltip uwMarketSwapS2 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeS2SwapCostStr credits. $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketSwapS2 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketSwapS2 $global.uwUpgradeShip $global.uwUpgradeS2SwapCostStr $player.creditsStr
UW_AddConfirmation uwMarketSwapS2 ""Replacing the Burn Drive system with Maneuvering Jets and replacing the built-in Advanced Targeting Core with Auxiliary Thrusters and Unstable Injector for $global.uwUpgradeShip requires $global.uwUpgradeS2SwapCostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,9:uwMarketSwapS2:Replace Burn Drive system with Maneuvering Jets and built-in Advanced Targeting Core with Aux. Thrusters/U. Injector,
uwMarketAddOptionSwapS2_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable S2
UW_UpgradeInstalled S1
!UW_UpgradeEnoughCredits S2","SetTooltip uwMarketSwapS2 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeS2SwapCostStr credits. Only $player.creditsStr credits are available.""
SetTooltipHighlightColors uwMarketSwapS2 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketSwapS2 $global.uwUpgradeShip $global.uwUpgradeS2SwapCostStr $player.creditsStr
SetEnabled uwMarketSwapS2 false",,9:uwMarketSwapS2:Replace Burn Drive system with Maneuvering Jets and built-in Advanced Targeting Core with Aux. Thrusters/U. Injector,
